Arrowhead Stadium , 76416 , Kansas City , Missouri , Bermuda grass , Open , 889 , 39.042666496 , -94.483664732
AT&T Stadium , 80000 , Arlington , Texas , Hellas Matrix Turf , Retractable , 320 , 32.741997032 , -97.088999644
Bank of America Stadium , 75419 , Charlotte , North Carolina , Bermuda grass , Open , 180 , 35.2248647 , -80.853127
Broncos Stadium at Mile High , 76125 , Denver , Colorado , Kentucky bluegrass , Open , 5280 , 39.739663708 , -105.018666592
CenturyLink Field , 68000 , Seattle , Washington , FieldTurf Revolution , Open , 260 , 47.590497638 , -122.325665364
FedEx Field , 82000 , Landover , Maryland , Bermuda grass , Open , 207 , 38.904663048 , -76.858663232
FirstEnergy Stadium , 67895 , Cleveland , Ohio , Kentucky bluegrass , Open , 171 , 41.503664652 , -81.692997228
Ford Field , 65000 , Detroit , Michigan , FieldTurf Classic HD , Fixed , 128 , 42.3103154 , -83.2457616
Gillette Stadium , 66829 , Foxborough , Massachusetts , FieldTurf Revolution , Open , 398 , 42.0953765 , -71.2656096
Hard Rock Stadium , 65326 , Miami Gardens , Florida , Platinum TE Paspalum , Open , 188 , 25.954829514 , -80.23666572
Heinz Field , 68400 , Pittsburgh , Pennsylvania , Kentucky bluegrass , Open , 722 , 40.441331568 , -80.009499962
Lambeau Field , 81435 , Green Bay , Wisconsin , Desso GrassMaster , Open , 640 , 44.5013805 ,  -88.0623258
Levi's Stadium , 68500 , Santa Clara , California , Bermuda grass / Perennial Ryegrass mixture , Open , 176 , 37.4020148919 , -121.968869091
Lincoln Financial Field , 69596 , Philadelphia , Pennsylvania , Desso GrassMaster , Open , 10 , 39.900496398 , -75.167165998
Los Angeles Memorial Coliseum , 77500 , Los Angeles , California , Bermuda grass , Open , 161 , 34.008499966 , -118.285998856
Lucas Oil Stadium , 67000 , Indianapolis , Indiana , FieldTurf Classic HD , Retractable , 270 , 39.759991 , -86.163712
M&T Bank Stadium , 71008 , Baltimore , Maryland , Bermuda grass , Open , 185 , 39.2778848 , -76.6230229
Mercedes-Benz Superdome , 73208 , New Orleans , Louisiana , UBU Sports Speed Series S5-M Synthetic Turf , Fixed , 273 , 29.950496198 , -90.075333032
Mercedes-Benz Stadium , 71000 , Atlanta , Georgia , FieldTurf Revolution , Retractable , 305 , 29.950496198 , -90.075333032
MetLife Stadium , 82500 , East Rutherford , New Jersey , UBU Sports Speed Series S5-M Synthetic Turf , Open , 7 , 40.808163434 , -74.071333048
New Era Field , 71608 , Orchard Park , New York , A-Turf Titan 50 , Open , 760 , 42.880230 , -78.878738
Nissan Stadium , 69143 , Nashville , Tennessee , Bermuda grass , Open , 397 , 36.174465 , -86.767960
NRG Stadium , 72220 , Houston , Texas , Hellas Matrix Turf , Retractable , 260 , 29.68416393 , -95.406498374
Oaklandâ€“Alameda County Coliseum , 53286 , Oakland , California , Bermuda grass , Open , 20 , 37.750996996 , -122.200332532
Paul Brown Stadium , 65515 , Cincinnati , Ohio , UBU Speed Series S5-M Synthetic Turf , Open , 505 , 39.096306 , -84.516846
Raymond James Stadium , 65890 , Tampa , Florida , Bermuda grass , Open , 177 , 27.972162778 , -82.501997992
Soldier Field , 61500 , Chicago , Illinois , Kentucky bluegrass , Open , 151 , 41.85749657 , -87.6166642
State Farm Stadium , 63400 , Glendale , Arizona , Bermuda grass , Retractable , 1070 , 34.161327 , -118.167648
StubHub Center , 27000 , Carson , California , Bermuda grass , Open , 60 , 33.858663232 , -118.25666564
TIAA Bank Field , 69132 , Jacksonville , Florida , Bermuda grass , Open , 3 , 30.332184 , -81.655647
U.S. Bank Stadium , 66655 , Minneapolis , Minnesota , UBU Speed Series S5-M Synthetic Turf , Fixed , 849 , 44.97249611 , -93.221332448
Camping World Stadium , 65000 , Orlando , Florida , AstroTurf GameDay Grass 3D , Open , 82 , 28.5391 , -81.4027
Estadio Azteca , 110000 , Mexico City , Mexico , Grass , Open , 7200 , 19.3017454597 , -99.1502643989
Tom Benson Hall of Fame Stadium , 22364 , Canton , Ohio , FieldTurf Classic HD , Open , 1060 , 40.8199 , -81.3980
Twickenham Stadium , 75000 , London , England , Desso GrassMaster , Open , 92 , 51.453664852 , -0.33833198
Wembley Stadium , 86000 , London , England , Desso GrassMaster , Partially retractable , 436 , 51.550503 , -0.304841
